L_mm,n_organoids,freq_kHz,Q_glass,Q_silicon,contrast_mid_dB_glass,contrast_mid_dB_silicon,F_min_norm_glass,F_min_norm_silicon,F_max_glass,F_max_silicon,T_coupling_741kHz
1.0000,1,741.5000,8.32,12.03,18.5684,22.4432,1.000000,1.000000,1.03748215e-02,7.17508136e-03,0.800819
1.0481,1,707.4732,8.32,12.03,18.5684,22.4432,1.000000,1.000000,9.44449852e-03,6.53169390e-03,0.800819
1.0962,1,676.4324,8.32,12.03,18.5684,22.4432,1.000000,1.000000,8.63392906e-03,5.97112094e-03,0.800819
1.1443,1,648.0009,8.32,12.04,18.5684,22.4433,1.000000,1.000000,7.92339666e-03,5.47973327e-03,0.800819
1.1924,1,621.8630,8.32,12.04,18.5684,22.4433,1.000000,1.000000,7.29709985e-03,5.04659895e-03,0.800819
1.2405,1,597.7520,8.32,12.04,18.5685,22.4433,1.000000,1.000000,6.74222478e-03,4.66285822e-03,0.800819
1.2886,1,575.4409,8.32,12.04,18.5685,22.4433,1.000000,1.000000,6.24831226e-03,4.32127723e-03,0.800819
1.3367,1,554.7354,8.32,12.04,18.5685,22.4433,1.000000,1.000000,5.80675372e-03,4.01590211e-03,0.800819
1.3848,1,535.4682,8.32,12.04,18.5685,22.4434,1.000000,1.000000,5.41040134e-03,3.74179253e-03,0.800819
1.4329,1,517.4944,8.32,12.04,18.5685,22.4434,1.000000,1.000000,5.05328886e-03,3.49481810e-03,0.800819
1.4810,1,500.6881,8.32,12.04,18.5685,22.4434,1.000000,1.000000,4.73039628e-03,3.27150939e-03,0.800819
1.5291,2,969.8781,16.65,24.07,18.5676,22.4419,0.999845,0.999760,1.77502347e-02,1.22756928e-02,0.800819
1.5772,2,940.3011,16.65,24.07,18.5676,22.4419,0.999850,0.999768,1.66841395e-02,1.15384187e-02,0.800819
1.6253,2,912.4747,16.65,24.07,18.5676,22.4420,0.999855,0.999775,1.57112808e-02,1.08656213e-02,0.800819
1.6733,2,886.2479,16.65,24.07,18.5677,22.4421,0.999859,0.999781,1.48211003e-02,1.02500025e-02,0.800819
1.7214,2,861.4866,16.65,24.07,18.5677,22.4421,0.999863,0.999787,1.40044827e-02,9.68525468e-03,0.800819
1.7695,2,838.0713,16.65,24.07,18.5677,22.4422,0.999866,0.999793,1.32535484e-02,9.16593084e-03,0.800819
1.8176,2,815.8953,16.65,24.07,18.5678,22.4422,0.999870,0.999799,1.25614266e-02,8.68727906e-03,0.800819
1.8657,2,794.8625,16.65,24.07,18.5678,22.4423,0.999873,0.999804,1.19221414e-02,8.24516863e-03,0.800819
1.9138,2,774.8869,16.65,24.07,18.5678,22.4423,0.999877,0.999809,1.13304400e-02,7.83596383e-03,0.800819
1.9619,2,755.8907,16.65,24.07,18.5678,22.4423,0.999880,0.999813,1.07817256e-02,7.45648705e-03,0.800819
2.0100,2,737.8036,16.65,24.07,18.5679,22.4424,0.999882,0.999818,1.02719253e-02,7.10392111e-03,0.800819
2.0581,2,720.5618,16.65,24.07,18.5679,22.4424,0.999885,0.999822,9.79744807e-03,6.77578455e-03,0.800819
2.1062,2,704.1075,16.65,24.07,18.5679,22.4424,0.999888,0.999826,9.35509932e-03,6.46986721e-03,0.800819
2.1543,2,688.3879,16.65,24.07,18.5679,22.4425,0.999890,0.999830,8.94204640e-03,6.18421010e-03,0.800819
